iter	Passed	Remaining
0	48	48923
1	49	24687
2	49	16558
3	50	12511
4	50	10078
5	51	8466
6	51	7330
7	51	6446
8	52	5761
9	52	5213
10	53	4765
11	53	4400
12	53	4084
13	54	3815
14	54	3581
15	54	3376
16	55	3196
17	55	3040
18	56	2897
19	56	2766
20	56	2651
21	57	2542
22	57	2442
23	57	2350
24	58	2265
25	58	2187
26	58	2115
27	58	2048
28	59	1984
29	59	1926
30	59	1871
31	60	1822
32	60	1777
33	61	1735
34	61	1706
35	62	1665
36	63	1640
37	63	1605
38	63	1573
39	64	1544
40	64	1515
41	65	1484
42	65	1455
43	65	1427
44	66	1400
45	66	1375
46	66	1352
47	67	1329
48	67	1308
49	67	1286
50	68	1265
51	68	1244
52	68	1225
53	69	1214
54	69	1196
55	69	1179
56	70	1162
57	70	1146
58	70	1131
59	71	1116
60	71	1102
61	71	1088
62	72	1074
63	72	1061
64	74	1065
65	74	1057
66	75	1045
67	75	1033
68	75	1021
69	76	1010
70	76	999
71	76	988
72	76	977
73	77	965
74	77	955
75	77	946
76	78	938
77	78	931
78	79	925
79	79	916
80	79	907
81	80	906
82	81	898
83	82	896
84	82	891
85	83	887
86	84	883
87	84	879
88	85	875
89	86	870
90	86	863
91	86	855
92	87	851
93	87	846
94	88	843
95	89	840
96	89	835
97	90	831
98	90	825
99	91	820
100	91	814
101	91	809
102	92	804
103	92	798
104	93	793
105	93	789
106	94	786
107	94	781
108	94	776
109	95	770
110	95	764
111	95	759
112	96	753
113	96	748
114	96	743
115	97	739
116	97	734
117	97	729
118	98	725
119	98	723
120	99	720
121	99	718
122	100	714
123	100	712
124	101	708
125	101	705
126	101	700
127	102	695
128	102	691
129	102	687
130	103	683
131	103	679
132	103	675
133	104	672
134	104	668
135	104	665
136	105	661
137	105	657
138	105	656
139	106	653
140	106	651
141	107	647
142	107	643
143	107	640
144	108	636
145	108	633
146	108	630
147	108	626
148	109	623
149	109	620
150	109	617
151	110	613
152	110	611
153	110	608
154	110	604
155	111	601
156	111	599
157	112	597
158	112	597
159	113	595
160	113	591
161	113	588
162	114	586
163	114	583
164	114	580
165	114	577
166	115	574
167	115	572
168	115	569
169	116	567
170	116	564
171	116	562
172	117	561
173	117	558
174	118	557
175	118	555
176	119	554
177	119	552
178	119	550
179	120	548
180	120	545
181	120	543
182	121	541
183	121	538
184	121	536
185	122	534
186	122	532
187	122	530
188	123	528
189	123	525
190	123	523
191	123	521
192	124	520
193	125	521
194	126	521
195	126	519
196	126	517
197	127	515
198	127	513
199	128	512
200	128	510
201	128	508
202	129	507
203	129	505
204	129	503
205	130	502
206	130	500
207	130	498
208	131	497
209	131	495
210	132	493
211	132	491
212	132	489
213	132	487
214	133	486
215	133	484
216	133	482
217	134	481
218	134	479
219	134	478
220	135	476
221	135	474
222	135	473
223	136	471
224	136	470
225	137	469
226	137	468
227	139	472
228	139	470
229	140	469
230	140	467
231	140	465
232	141	464
233	141	463
234	141	461
235	142	460
236	142	458
237	142	457
238	143	456
239	143	454
240	143	453
241	144	452
242	144	450
243	145	449
244	145	448
245	145	446
246	146	445
247	146	443
248	146	443
249	147	441
250	147	440
251	147	439
252	148	437
253	148	436
254	149	435
255	149	435
256	150	434
257	150	433
258	151	432
259	151	431
260	151	430
261	152	428
262	152	427
263	152	426
264	153	424
265	153	423
266	153	421
267	155	423
268	155	423
269	156	422
270	156	421
271	157	420
272	157	419
273	157	418
274	158	416
275	158	415
276	158	414
277	158	412
278	159	411
279	159	410
280	159	409
281	160	408
282	160	406
283	160	405
284	161	404
285	161	403
286	161	402
287	162	401
288	162	400
289	163	400
290	164	399
291	164	398
292	164	398
293	165	397
294	166	397
295	166	396
296	167	395
297	167	394
298	167	393
299	168	392
300	168	391
301	168	390
302	169	389
303	169	388
304	170	388
305	170	387
306	170	385
307	171	384
308	171	383
309	171	382
310	172	381
311	172	380
312	172	379
313	173	378
314	173	377
315	174	377
316	174	376
317	175	376
318	175	375
319	176	374
320	176	373
321	177	372
322	177	371
323	177	370
324	178	369
325	178	368
326	178	367
327	178	366
328	179	365
329	179	364
330	179	363
331	180	362
332	180	361
333	180	360
334	181	359
335	181	358
336	181	358
337	182	357
338	182	356
339	182	355
340	183	354
341	183	353
342	183	351
343	184	350
344	184	349
345	184	348
346	184	347
347	185	346
348	185	345
349	185	345
350	186	344
351	186	344
352	187	343
353	187	342
354	188	342
355	188	341
356	189	340
357	189	339
358	190	339
359	190	338
360	190	337
361	190	336
362	191	335
363	191	334
364	191	333
365	192	332
366	192	331
367	192	330
368	192	329
369	193	329
370	193	328
371	194	327
372	194	326
373	194	326
374	195	325
375	195	324
376	195	323
377	196	322
378	196	321
379	196	321
380	197	320
381	197	320
382	198	319
383	198	318
384	198	317
385	199	316
386	199	316
387	199	315
388	200	314
389	200	314
390	201	313
391	201	312
392	201	311
393	202	310
394	202	309
395	202	309
396	202	308
397	203	307
398	203	306
399	203	305
400	204	304
401	204	304
402	204	303
403	205	302
404	205	301
405	205	301
406	206	300
407	206	299
408	207	299
409	207	298
410	208	298
411	208	297
412	208	296
413	209	296
414	209	295
415	209	294
416	210	293
417	210	293
418	210	292
419	211	291
420	211	290
421	211	290
422	212	289
423	212	288
424	213	288
425	213	287
426	213	287
427	214	286
428	214	285
429	214	284
430	215	284
431	215	283
432	216	282
433	216	282
434	216	281
435	216	280
436	217	280
437	217	279
438	218	278
439	218	278
440	219	277
441	219	277
442	219	276
443	220	275
444	220	274
445	220	274
446	220	273
447	221	272
448	221	271
449	221	271
450	222	270
451	222	269
452	222	268
453	223	268
454	223	267
455	223	266
456	223	266
457	224	265
458	224	264
459	225	264
460	225	263
461	226	263
462	226	262
463	226	261
464	227	261
465	227	260
466	227	259
467	227	259
468	228	258
469	228	257
470	228	257
471	229	256
472	229	255
473	229	254
474	230	254
475	230	253
476	230	253
477	231	252
478	231	251
479	232	251
480	232	250
481	232	250
482	233	249
483	233	248
484	233	248
485	233	247
486	234	246
487	234	246
488	234	245
489	235	244
490	235	244
491	235	243
492	236	243
493	236	242
494	237	242
495	237	241
496	238	240
497	238	240
498	239	240
499	239	239
500	239	238
501	240	238
502	240	237
503	240	236
504	241	236
505	241	235
506	241	235
507	242	234
508	242	234
509	243	233
510	243	232
511	243	232
512	244	231
513	244	231
514	245	230
515	245	230
516	245	229
517	246	228
518	246	228
519	246	227
520	246	226
521	247	226
522	247	225
523	247	224
524	247	224
525	248	223
526	248	223
527	248	222
528	249	221
529	249	221
530	249	220
531	250	220
532	250	219
533	251	219
534	251	218
535	251	217
536	252	217
537	252	216
538	252	216
539	253	215
540	253	214
541	253	214
542	253	213
543	254	212
544	254	212
545	254	211
546	254	211
547	255	210
548	255	209
549	255	209
550	256	208
551	256	208
552	256	207
553	257	207
554	257	206
555	258	206
556	258	205
557	258	204
558	259	204
559	259	203
560	259	203
561	259	202
562	260	201
563	260	201
564	260	200
565	260	200
566	261	199
567	261	198
568	262	198
569	262	198
570	262	197
571	263	197
572	264	196
573	264	196
574	264	195
575	265	195
576	265	194
577	265	194
578	266	193
579	266	192
580	268	193
581	268	192
582	269	192
583	269	192
584	270	191
585	270	191
586	271	190
587	271	190
588	271	189
589	271	188
590	272	188
591	272	187
592	273	187
593	273	187
594	274	186
595	274	186
596	274	185
597	275	185
598	275	184
599	276	184
600	276	183
601	277	183
602	277	182
603	277	182
604	277	181
605	278	180
606	278	180
607	278	179
608	279	179
609	279	178
610	279	178
611	280	177
612	280	177
613	280	176
614	281	176
615	281	175
616	282	175
617	283	174
618	283	174
619	283	173
620	284	173
621	284	172
622	284	172
623	284	171
624	285	171
625	285	170
626	285	170
627	286	169
628	286	169
629	286	168
630	287	167
631	287	167
632	287	166
633	288	166
634	288	166
635	289	165
636	289	164
637	289	164
638	290	163
639	290	163
640	290	162
641	290	162
642	291	161
643	291	161
644	291	160
645	292	160
646	292	159
647	292	158
648	292	158
649	293	157
650	293	157
651	294	156
652	294	156
653	295	156
654	295	155
655	295	155
656	296	154
657	296	154
658	296	153
659	296	152
660	297	152
661	297	151
662	297	151
663	297	150
664	298	150
665	298	149
666	298	149
667	298	148
668	299	148
669	299	147
670	299	146
671	299	146
672	300	145
673	300	145
674	301	145
675	301	144
676	302	144
677	302	143
678	302	143
679	303	142
680	303	142
681	303	141
682	304	141
683	304	140
684	307	141
685	308	141
686	308	140
687	308	140
688	309	139
689	309	138
690	309	138
691	309	137
692	310	137
693	310	136
694	311	136
695	311	135
696	311	135
697	311	134
698	312	134
699	312	133
700	312	133
701	313	133
702	314	132
703	314	132
704	315	131
705	315	131
706	315	130
707	316	130
708	316	129
709	316	129
710	317	128
711	317	128
712	317	127
713	317	127
714	318	126
715	318	126
716	318	125
717	319	125
718	319	124
719	320	124
720	320	124
721	320	123
722	321	123
723	321	122
724	321	122
725	322	121
726	322	121
727	322	120
728	323	120
729	323	119
730	323	119
731	324	118
732	324	118
733	324	117
734	325	117
735	325	116
736	325	116
737	326	115
738	326	115
739	327	114
740	327	114
741	327	113
742	328	113
743	328	112
744	328	112
745	328	111
746	329	111
747	329	110
748	329	110
749	329	109
750	330	109
751	330	109
752	331	108
753	332	108
754	333	108
755	335	108
756	336	107
757	336	107
758	336	107
759	337	106
760	337	106
761	337	105
762	338	105
763	339	104
764	339	104
765	339	103
766	340	103
767	340	102
768	340	102
769	341	101
770	341	101
771	341	100
772	341	100
773	342	99
774	342	99
775	342	98
776	343	98
777	343	98
778	343	97
779	344	97
780	344	96
781	344	96
782	345	95
783	345	95
784	346	94
785	346	94
786	346	93
787	347	93
788	347	92
789	347	92
790	348	92
791	348	91
792	348	91
793	349	90
794	349	90
795	349	89
796	350	89
797	350	88
798	350	88
799	350	87
800	352	87
801	353	87
802	353	86
803	353	86
804	354	85
805	354	85
806	354	84
807	354	84
808	355	83
809	355	83
810	355	82
811	356	82
812	356	81
813	356	81
814	357	81
815	357	80
816	357	80
817	358	79
818	358	79
819	359	78
820	359	78
821	359	77
822	360	77
823	360	76
824	360	76
825	360	76
826	361	75
827	361	75
828	361	74
829	362	74
830	362	73
831	362	73
832	362	72
833	363	72
834	364	72
835	364	71
836	365	71
837	365	70
838	365	70
839	366	69
840	366	69
841	367	68
842	367	68
843	367	67
844	368	67
845	368	67
846	368	66
847	369	66
848	369	65
849	370	65
850	370	64
851	370	64
852	372	64
853	372	63
854	372	63
855	373	62
856	373	62
857	373	61
858	374	61
859	374	60
860	374	60
861	375	60
862	375	59
863	375	59
864	376	58
865	376	58
866	376	57
867	377	57
868	377	56
869	378	56
870	378	56
871	378	55
872	378	55
873	379	54
874	379	54
875	379	53
876	380	53
877	380	52
878	380	52
879	381	51
880	381	51
881	381	51
882	382	50
883	382	50
884	383	49
885	383	49
886	383	48
887	384	48
888	384	48
889	384	47
890	385	47
891	385	46
892	385	46
893	385	45
894	386	45
895	386	44
896	386	44
897	387	43
898	387	43
899	387	43
900	388	42
901	388	42
902	388	41
903	389	41
904	389	40
905	390	40
906	390	40
907	390	39
908	391	39
909	391	38
910	391	38
911	391	37
912	392	37
913	392	36
914	392	36
915	393	36
916	393	35
917	393	35
918	393	34
919	394	34
920	394	33
921	394	33
922	395	32
923	395	32
924	396	32
925	397	31
926	397	31
927	397	30
928	398	30
929	398	29
930	398	29
931	399	29
932	399	28
933	399	28
934	399	27
935	400	27
936	400	26
937	400	26
938	401	26
939	401	25
940	401	25
941	402	24
942	403	24
943	403	23
944	403	23
945	404	23
946	404	22
947	404	22
948	405	21
949	405	21
950	405	20
951	405	20
952	406	20
953	406	19
954	406	19
955	407	18
956	407	18
957	407	17
958	408	17
959	408	17
960	409	16
961	409	16
962	409	15
963	410	15
964	410	14
965	410	14
966	410	14
967	411	13
968	411	13
969	411	12
970	412	12
971	412	11
972	412	11
973	412	11
974	413	10
975	413	10
976	413	9
977	414	9
978	414	8
979	415	8
980	415	8
981	416	7
982	416	7
983	417	6
984	417	6
985	418	5
986	419	5
987	419	5
988	420	4
989	421	4
990	422	3
991	422	3
992	423	2
993	424	2
994	424	2
995	424	1
996	425	1
997	425	0
998	425	0
999	425	0
